               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.036563,            0.017034,           0.0068271,             0.63451,             0.46671,             0.51072,             0.20481,            0.051422,            0.012184,           0.0095501,            0.006304,            0.006304,            0.006304
                 114,            0.035993,            0.015401,           0.0061975,             0.64193,             0.54049,             0.55456,             0.22448,            0.053014,            0.011679,            0.012814,            0.006271,            0.006271,            0.006271
                 115,            0.035763,            0.016839,           0.0052123,              0.7483,             0.49809,             0.57474,             0.24699,            0.051057,             0.01132,            0.014678,            0.006238,            0.006238,            0.006238
                 116,            0.035824,            0.016745,           0.0062737,             0.61698,             0.50925,             0.49222,             0.23482,            0.047355,            0.011513,            0.016867,            0.006205,            0.006205,            0.006205
                 117,            0.036765,             0.01647,           0.0082469,             0.73279,             0.39287,             0.52857,             0.22925,            0.049672,            0.011422,            0.014523,            0.006172,            0.006172,            0.006172
                 118,            0.034837,            0.016786,           0.0069111,             0.56301,             0.49057,             0.51955,             0.25556,            0.047873,             0.01191,            0.011655,            0.006139,            0.006139,            0.006139
                 119,            0.031876,            0.016556,           0.0055008,             0.74583,               0.375,             0.44365,             0.19222,            0.050305,            0.012538,            0.012304,            0.006106,            0.006106,            0.006106
                 120,             0.03365,              0.0165,           0.0068796,             0.51061,             0.45035,             0.49117,             0.21797,            0.047855,            0.012192,            0.014705,            0.006073,            0.006073,            0.006073
                 121,            0.034188,            0.016075,           0.0063909,             0.71097,             0.53426,             0.56953,             0.26673,            0.047474,            0.011609,            0.014675,             0.00604,             0.00604,             0.00604
                 122,            0.035715,            0.016024,           0.0071248,             0.60686,             0.55324,             0.54806,             0.24544,            0.044653,            0.011623,            0.011552,            0.006007,            0.006007,            0.006007
                 123,            0.034452,            0.016078,           0.0055121,             0.61099,             0.54311,             0.56925,             0.24914,            0.048146,            0.011948,            0.011176,            0.005974,            0.005974,            0.005974
                 124,            0.036573,            0.017151,           0.0075449,             0.77849,             0.58353,             0.58596,             0.25246,            0.048517,            0.012413,           0.0095657,            0.005941,            0.005941,            0.005941
                 125,            0.034615,            0.016503,           0.0064436,             0.72533,             0.50887,             0.56583,             0.27509,            0.053679,             0.01195,            0.010805,            0.005908,            0.005908,            0.005908
                 126,            0.033927,            0.016273,           0.0060978,             0.75866,             0.45118,             0.54738,             0.25196,            0.054128,              0.0119,            0.011408,            0.005875,            0.005875,            0.005875
                 127,            0.034923,             0.01636,           0.0081862,             0.71577,              0.5202,             0.56731,             0.23436,            0.050452,            0.011848,            0.010146,            0.005842,            0.005842,            0.005842
                 128,            0.033592,            0.016028,           0.0080184,             0.69107,              0.5522,               0.597,             0.24148,            0.048613,            0.012624,            0.010075,            0.005809,            0.005809,            0.005809
                 129,            0.032992,            0.016697,           0.0058787,             0.65642,             0.46944,             0.52221,             0.21637,            0.051036,            0.012915,           0.0097957,            0.005776,            0.005776,            0.005776
                 130,            0.034704,            0.017281,           0.0058943,             0.51906,             0.52269,             0.50155,             0.19756,            0.052151,            0.012315,           0.0099611,            0.005743,            0.005743,            0.005743
                 131,            0.032844,            0.016574,           0.0063027,              0.6892,             0.53542,             0.56184,             0.24373,            0.053404,            0.011647,            0.010055,             0.00571,             0.00571,             0.00571
                 132,            0.032216,            0.015849,           0.0071928,             0.61901,             0.53736,             0.56341,             0.22935,            0.052783,            0.011884,           0.0094838,            0.005677,            0.005677,            0.005677
                 133,            0.033577,             0.01571,            0.007738,             0.71062,             0.47941,              0.5703,             0.22118,             0.05323,            0.011936,            0.010077,            0.005644,            0.005644,            0.005644
                 134,            0.032564,            0.015411,           0.0084432,             0.67775,             0.38693,             0.39867,             0.17171,            0.055299,            0.012037,             0.01357,            0.005611,            0.005611,            0.005611
                 135,             0.03396,            0.016014,           0.0076207,             0.52519,             0.51885,             0.50909,             0.19537,            0.053456,            0.011467,            0.013902,            0.005578,            0.005578,            0.005578
                 136,            0.033721,            0.016091,           0.0072075,             0.61492,             0.57083,             0.53822,             0.24409,            0.050176,            0.011677,            0.015857,            0.005545,            0.005545,            0.005545
                 137,            0.032224,            0.015015,           0.0051742,             0.67275,             0.52957,             0.56534,             0.28484,            0.049865,            0.012338,            0.013551,            0.005512,            0.005512,            0.005512
                 138,            0.031781,            0.015262,           0.0055832,             0.68577,             0.60903,             0.61027,             0.24863,            0.048371,            0.012029,           0.0087476,            0.005479,            0.005479,            0.005479
                 139,            0.031393,            0.015613,           0.0051015,             0.70678,             0.61941,             0.63333,             0.28153,            0.047428,            0.011333,           0.0077557,            0.005446,            0.005446,            0.005446
                 140,            0.031646,            0.014879,           0.0050377,             0.62613,             0.52407,             0.54035,              0.2277,            0.051867,            0.011391,            0.011081,            0.005413,            0.005413,            0.005413
                 141,            0.033835,            0.014823,           0.0077904,             0.62261,              0.6004,             0.60011,             0.25107,            0.052524,            0.012071,            0.012666,             0.00538,             0.00538,             0.00538
                 142,            0.034061,            0.016627,           0.0060854,             0.62214,             0.54019,             0.51549,             0.19459,            0.049788,            0.012189,            0.012503,            0.005347,            0.005347,            0.005347
                 143,            0.033054,            0.014735,           0.0046315,             0.78532,             0.52447,             0.57246,             0.24235,            0.049764,            0.011732,            0.011588,            0.005314,            0.005314,            0.005314
                 144,            0.032662,            0.015023,           0.0062128,             0.73586,             0.54339,             0.58662,              0.2381,            0.048482,             0.01221,           0.0098486,            0.005281,            0.005281,            0.005281
                 145,            0.034369,            0.015644,           0.0062519,             0.76648,             0.52692,             0.59149,             0.22576,            0.049231,            0.012359,           0.0098648,            0.005248,            0.005248,            0.005248
                 146,            0.033547,            0.014886,           0.0059343,             0.75315,             0.45675,             0.57033,             0.22353,            0.051643,            0.012518,           0.0095188,            0.005215,            0.005215,            0.005215
                 147,            0.033242,            0.015843,           0.0063394,             0.68936,             0.56363,             0.58583,             0.23941,            0.051033,            0.012868,           0.0081935,            0.005182,            0.005182,            0.005182
                 148,            0.033836,            0.013909,           0.0067713,             0.68735,              0.5213,             0.55073,             0.24582,            0.047451,            0.013024,            0.010713,            0.005149,            0.005149,            0.005149
                 149,            0.032819,            0.015325,           0.0056477,             0.72802,             0.46343,             0.54034,             0.21129,            0.048789,            0.012528,            0.011742,            0.005116,            0.005116,            0.005116
                 150,            0.030566,            0.014076,           0.0054407,             0.61501,             0.52069,              0.5376,             0.20025,            0.050532,            0.013095,            0.010243,            0.005083,            0.005083,            0.005083
                 151,            0.032109,            0.015853,           0.0059103,             0.60001,             0.52672,             0.54688,             0.20917,            0.049681,            0.013264,           0.0091937,             0.00505,             0.00505,             0.00505
                 152,            0.032697,            0.016663,           0.0053881,             0.63295,             0.46833,             0.54986,             0.24015,            0.049291,            0.013393,           0.0096115,            0.005017,            0.005017,            0.005017
